County,Offense,Offense Description,Offense Date
Lamar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/3/2018
Jefferson,Drug,POSS CS PG 1 <1G,1/19/2017
Dallas,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,1/24/2019
Brown,Property,"THEFT PROP >=$2,500<$30K",1/28/2018
Liberty,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,5/22/2019
Bexar,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,8/16/2017
Tarrant,Property,UNAUTH USE OF VEHICLE,5/4/2018
Travis,Violent,ASSAULT ON SECURITY OFFICER,12/25/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/20/2019
Hays,Other,EVADING ARST/DETN W/VEH,1/4/2018
Burleson,Drug,POSS CS PG 1 >=1G<4G,12/2/2017
Bexar,Drug,POSS CS PG 1 <1G,4/21/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/25/2018
Wood,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/8/2018
Coryell,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/14/2019
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/17/2018
Howard,Violent,HARASSMENT OF PUBLIC SERVANT,4/16/2017
Hays,Drug,POSS CS PG 1 <1G,3/27/2018
McLennan,Property,FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,9/1/2018
Williamson,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/28/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/23/2018
Cameron,Other,EVADING ARST/DETN W/VEH,5/27/2018
Hidalgo,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/15/2019
Gray,Drug,POSS CS PG 1 <1G,12/9/2018
Tarrant,Property,"THEFT PROP >=$2,500<$30K",7/31/2018
Hays,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/28/2018
Wichita,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/15/2018
Wichita,Other,EVADE ARREST/DETEN W/PREV CONV,3/13/2018
Ellis,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/28/2018
Bexar,Drug,POSS CS PG 1 >=4G<200G,8/19/2018
Lamb,Other,CIVIL COMMITMENT REQUIREMENT,3/18/2019
Fort Bend,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",4/6/2019
Coryell,Other,EVADING ARST/DETN W/VEH,2/21/2019
Harris,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,11/13/2017
McLennan,Drug,POSS CS PG 1 >=1G<4G,7/1/2018
Galveston,Drug,POSS CS PG 1 <1G,3/20/2018
Hidalgo,Drug,POSS CS PG 1 <1G,3/22/2019
Orange,Drug,POSS CS PG 1 >=4G<200G,12/15/2017
Wood,Drug,POSS CS PG 1 >=4G<200G,1/13/2018
Hopkins,Drug,MAN DEL CS PG 1 >=1G<4G,7/3/2018
Harris,Property,BURGLARY OF BUILDING,8/6/2018
Nacogdoches,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/29/2019
Nacogdoches,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/10/2019
Tom Green,Drug,POSS CS PG 1 <1G,4/12/2018
Hidalgo,Property,BURGLARY OF BUILDING,12/3/2018
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/2/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,7/27/2018
Smith,Drug,POSS CS PG 1 <1G,4/10/2018
Panola,Drug,POSS CS PG 1 >=1G<4G,2/16/2019
Smith,Property,UNAUTH USE OF VEHICLE,6/12/2018
Tarrant,Drug,POSS CS PG 1 >=1G<4G,9/16/2018
Tarrant,Violent,AGG ASSAULT W/DEADLY WEAPON,6/9/2018
Wichita,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/28/2017
Hays,Property,FORGERY FINANCIAL INSTRUMENT,1/23/2018
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/14/2019
Lubbock,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,4/7/2017
Collin,Drug,POSS CS PG 1 >=4G<200G,7/23/2018
Midland,Drug,POSS CS PG 1 <1G,3/1/2018
Jefferson,Other,OBSTRUCTION OR RETALIATION,9/1/2018
Grayson,Drug,MAN DEL CS PG 1 >=1G<4G,12/5/2018
Cass,Other,EVADING ARST/DETN W/VEH,3/30/2019
Navarro,Drug,POSS CS PG 1 <1G,9/13/2017
Potter,Other,EVADE ARREST/DETEN W/PREV CONV,7/18/2018
Gregg,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,8/1/2018
Travis,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS 50 OR MORE,3/1/2018
Navarro,Drug,POSS CS PG 1 <1G,11/26/2018
Ellis,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,10/5/2017
Hunt,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/24/2018
Lamar,Violent,AGG ASSAULT W/DEADLY WEAPON,9/21/2018
Harris,Drug,POSS CS PG 1 <1G,3/26/2019
Tarrant,Property,BURGLARY OF HABITATION,5/18/2018
Collin,Drug,POSS CS PG 1 <1G,10/24/2017
Bexar,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,8/29/2017
Milam,Violent,SEXUAL ASSAULT CHILD,4/29/2017
Dallas,Violent,INTOXICATION ASSAULT W/VEHICLE SBI,1/31/2018
Lampasas,Property,FORGERY GOVT/NATIONAL INST/MONEY/SECURITY,5/25/2017
Montgomery,Property,FORGERY FINANCIAL INSTRUMENT,8/20/2018
Harris,Other,VIOL BOND/PROTECTIVE ORDER 2+ PREV CONV IAT,4/25/2018
Tarrant,Drug,POSS CS PG 1 >=4G<200G,6/18/2017
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/26/2018
Travis,Violent,AGG ASSAULT W/DEADLY WEAPON,8/20/2017
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/15/2018
Polk,Other,ACCIDENT INVOLVING INJURY,1/21/2019
Tarrant,Drug,POSS CS PG 1 <1G,1/24/2019
Matagorda,Drug,POSS CS PG 1 <1G,12/12/2018
Hunt,Drug,POSS CS PG 1 >=1G<4G,1/19/2018
Harris,Drug,MAN DEL CS PG 1 <1G,11/8/2018
Grayson,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/29/2018
Travis,Other,UNL POSS FIREARM BY FELON,11/18/2018
Midland,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,1/11/2019
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/27/2018
Limestone,Violent,INJURY CHILD/ELDERLY/DISABLED CRIMINAL NEGLIGENCE,10/31/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/22/2019
Chambers,Property,UNAUTH USE OF VEHICLE,9/1/2018
San Patricio,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/16/2017
Brazoria,Property,FORGERY FINANCIAL INSTRUMENT,12/27/2018
Smith,Drug,POSS CS PG 1 >=4G<200G,12/2/2017
Lamar,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,6/18/2018
Tarrant,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,11/19/2018
Bexar,Drug,MAN DEL CS PG 1 >=4G<200G,5/2/2017
Grayson,Drug,POSS CS PG 1 >=1G<4G,11/16/2018
Wood,Drug,POSS CS PG 1 >=1G<4G,11/2/2018
Gregg,Drug,POSS CS PG 1 <1G,4/19/2018
Travis,Violent,ROBBERY,5/27/2018
Smith,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/4/2017
Bexar,Other,PROSTITUTION W/3 OR MORE PRIORS,5/20/2018
Jefferson,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,1/24/2019
Bexar,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/12/2018
Hood,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/25/2018
Taylor,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/12/2018
Brazoria,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/10/2018
Ector,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,8/29/2017
Johnson,Drug,POSS CS PG 1 <1G,3/26/2018
Dallas,Property,BURGLARY OF VEHICLES W/PREV 2 OR MORE CONV,4/15/2019
Gonzales,Drug,MAN DEL CS PG 1 >=1G<4G,11/14/2018
Travis,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,6/16/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/26/2019
Tarrant,Drug,POSS CS PG 1 <1G,1/18/2019
San Jacinto,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/17/2018
Colorado,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/9/2019
Tarrant,Drug,POSS CS PG 1 <1G,5/21/2019
Wichita,Property,BURGLARY OF HABITATION,10/20/2018
Taylor,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/3/2018
Hill,Other,ONLINE SOLICIT OF A MINOR,1/22/2018
Collin,Drug,POSS CS PG 1 <1G,11/8/2018
Kaufman,Drug,MAN DEL CS PG 1 >=4G<200G,2/11/2018
Parker,Drug,POSS CS PG 1 <1G,6/7/2018
Collin,Drug,POSS CS PG 1 <1G,5/16/2018
Tarrant,Drug,POSS CS PG 1 <1G,11/23/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/22/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/26/2017
Dallas,Property,BURGLARY OF BUILDING,1/18/2017
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE IAT,5/14/2017
Dallas,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,10/6/2017
Tarrant,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,3/22/2018
Collin,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/30/2018
Tarrant,Other,EVADING ARST/DETN W/VEH,10/2/2018
Taylor,Other,EVADING ARST/DETN W/VEH,9/10/2017
Cameron,Violent,INDECENCY W/CHILD SEXUAL CONTACT,7/10/2017
Brown,Drug,MAN DEL CS PG 1 >=4G<200G,3/28/2017
Harris,Drug,POSS CS PG 1 >=1G<4G,2/22/2018
Comal,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/31/2017
Hidalgo,Violent,SEXUAL ASSAULT CHILD,4/1/2018
Galveston,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/5/2018
Dallas,Violent,AGG ASSAULT W/DEADLY WEAPON,11/26/2017
El Paso,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,4/13/2018
Brazos,Violent,AGG ASSAULT DATE/FAMILY/HOUSE W/WEAPON,9/26/2017
Cameron,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/10/2018
Franklin,Other,DRIVING WHILE INTOXICATED BAC >= 0.15,12/31/2018
Guadalupe,Drug,POSS CS PG 1 >=1G<4G,3/16/2018
Bell,Property,UNAUTH USE OF VEHICLE,5/22/2018
Bastrop,Property,THEFT PROP <$2500 2+ CONV ENH IAT,3/23/2017
Ector,Property,BURGLARY OF BUILDING,6/5/2018
Hidalgo,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,1/8/2019
Gregg,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/4/2019
Smith,Drug,POSS CS PG 1 <1G,5/27/2018
Harris,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,5/19/2018
Tarrant,Property,FRAUD USE/POSS IDENTIFYING INFO # ITEMS < 5,6/5/2018
Kerr,Drug,POSS CS PG 1 <1G,4/13/2018
Ellis,Drug,POSS CS PG 1 <1G,8/20/2017
Terry,Property,BURGLARY HABITATION INTEND OTHER FELONY,2/22/2018
Bexar,Drug,MAN DEL CS PG 1 >=4G<200G,5/30/2018
Tarrant,Property,BURGLARY OF VEHICLES W/PREV 2 OR MORE CONV,6/16/2018
Angelina,Other,EVADE ARREST/DETEN W/PREV CONV,9/8/2018
El Paso,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/23/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/13/2018
Harris,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,5/26/2017
Wilson,Drug,POSS CS PG 1 <1G,1/9/2018
Travis,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/9/2018
Travis,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/22/2017
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/22/2017
Dallas,Drug,POSS CS PG 1 <1G,12/11/2018
Travis,Violent,AGG ROBBERY,9/5/2018
Harris,Property,BURGLARY OF BUILDING,4/30/2019
Taylor,Violent,MURDER,4/29/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/3/2019
Brown,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/28/2017
Tarrant,Drug,POSS CS PG 1 >=1G<4G,7/27/2018
Kerr,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,6/23/2017
Travis,Drug,MAN DEL CS PG 1 <1G,8/22/2018
Lubbock,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,12/25/2017
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,4/14/2018
Cameron,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/17/2018
Wichita,Drug,POSS CS PG 1 <1G,10/28/2018
Travis,Drug,POSS CS PG 1 >=1G<4G,5/29/2018
McLennan,Violent,AGG ASSAULT AGAINST PUBLIC SERVANT,9/21/2018
Harris,Violent,ROBBERY,3/31/2017
Harris,Property,UNAUTH USE OF VEHICLE,12/28/2018
Nueces,Violent,ROBBERY,7/3/2018
Dallas,Drug,POSS CS PG 1 >=1G<4G,8/20/2018
Ector,Violent,ASSAULT PUBLIC SERVANT,11/25/2018
Johnson,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,5/30/2017
Jefferson,Property,THEFT PROP >=$30K<$150K,8/10/2017
Fort Bend,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/17/2019
Midland,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/19/2018
Bexar,Drug,POSS CS PG 1 >=1G<4G,8/10/2017
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/15/2018
Tarrant,Drug,POSS CS PG 1 >=1G<4G,8/9/2017
Harris,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,10/30/2018
Harris,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,3/26/2018
Brazoria,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/9/2018
Montgomery,Property,BURGLARY OF BUILDING,5/5/2018
Dallas,Property,THEFT OF CARGO >=$100K<$200K,2/8/2018
Montgomery,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/28/2018
Hidalgo,Drug,POSS CS PG 1 <1G,3/23/2018
Kendall,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,1/8/2017
Bastrop,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/23/2017
Coryell,Other,VIOL BOND/PROTECTIVE ORDER 2+ TIMES W/I 12 MO,11/29/2017
Cameron,Property,BURGLARY OF BUILDING,4/16/2018
Brazos,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/20/2018
Wood,Drug,POSS CS PG 1 >=1G<4G,5/25/2017
San Patricio,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,8/3/2017
Hill,Drug,POSS CS PG 1 <1G,8/17/2017
Gregg,Property,"THEFT PROP>=$1,500<$20K",2/10/2018
Hays,Violent,STALKING,5/9/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/19/2018
Bexar,Other,UNL POSS FIREARM BY FELON,8/17/2018
Galveston,Drug,MAN DEL CS PG 1 >=4G<200G,3/9/2018
Wichita,Other,ONLINE SOLICIT OF A MINOR SEXUAL CONDUCT,9/9/2017
Gregg,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/16/2017
Midland,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,1/16/2018
Tarrant,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",5/9/2019
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/19/2018
Ector,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/23/2018
El Paso,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/8/2018
Potter,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,9/10/2017
Dallas,Other,PROSTITUTION W/3 OR MORE PRIORS,3/2/2017
Grayson,Other,EVADING ARST/DETN W/VEH,4/12/2018
Tom Green,Drug,MAN DEL CS PG 1 >=4G<200G,11/29/2017
Harris,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,11/19/2017
Hidalgo,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,3/23/2019
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/25/2018
Hockley,Property,BURGLARY OF HABITATION,2/13/2019
Gregg,Drug,POSS CS PG 1 <1G,11/11/2018
Bexar,Other,VIOL BOND/PROTECTIVE ORDER ASSAULT/STALK IAT,3/31/2017
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,12/27/2017
Taylor,Other,DRIVING WHILE INTOXICATED 2ND,6/17/2017
Brazoria,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,3/25/2017
Bell,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/5/2018
Harris,Other,DEADLY CONDUCT DISCHARGE FIREARM,3/26/2018
Harris,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,6/2/2018
Harris,Drug,POSS CS PG 1 <1G,3/18/2018
Dallas,Drug,POSS CS PG 1 <1G,10/16/2018
Victoria,Other,OBSTRUCTION OR RETALIATION,8/30/2018
Wood,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/27/2018
Bexar,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/7/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/5/2018
Harris,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,3/27/2019
El Paso,Drug,MAN DEL CS PG 1 >=1G<4G,9/5/2018
Grayson,Property,CREDIT CARD OR DEBIT CARD ABUSE,2/7/2018
Montgomery,Drug,POSS CS PG 1 <1G,1/31/2019
Harris,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,11/23/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,12/6/2018
Wise,Drug,POSS CS PG 1 <1G,11/15/2017
Nacogdoches,Violent,AGG ROBBERY,5/10/2017
Hill,Drug,POSS CS PG 1 >=1G<4G,8/11/2018
Hill,Property,BURGLARY OF BUILDING,8/11/2018
Tarrant,Drug,POSS CS PG 1 <1G,10/24/2018
Tom Green,Drug,POSS CS PG 1 <1G,5/7/2018
San Patricio,Violent,AGG ASSAULT CAUSES SERIOUS BODILY INJ,7/3/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/2/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,11/7/2017
Guadalupe,Drug,MAN DEL CS PG 1 >=4G<200G,5/23/2017
Cooke,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,8/7/2017
Lubbock,Property,UNAUTH USE OF VEHICLE,8/23/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,4/14/2018
Ector,Drug,POSS CS PG 1 <1G,5/8/2018
Hidalgo,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/28/2018
Dallas,Violent,AGG ROBBERY,3/1/2018
Bexar,Violent,ASSAULT CAUSES BODILY INJURY FAMILY VIOLENCE,7/7/2017
Grayson,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",3/29/2018
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,5/25/2018
Travis,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,2/2/2019
Tarrant,Drug,POSS CS PG 1 <1G,9/29/2018
Kerr,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,10/3/2017
Gregg,Drug,POSS CS PG 1 <1G,1/28/2018
Hidalgo,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,6/6/2017
Harris,Drug,POSS CS PG 1 <1G,10/27/2018
Dallas,Property,UNAUTH USE OF VEHICLE,11/13/2018
Harris,Drug,POSS CS PG 1 >=1G<4G,8/5/2018
Harrison,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,2/24/2019
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",8/15/2018
Harris,Other,EVADE ARREST/DETEN W/PREV CONV,8/22/2018
El Paso,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/23/2018
Fort Bend,Other,EVADE ARREST/DETEN W/PREV CONV,1/3/2019
Hays,Other,SEX OFFENDERS DUTY TO REGISTER 10YRS,11/6/2017
Nueces,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/90 DAY,4/20/2017
Franklin,Drug,POSS CS PG 1 <1G,3/24/2018
Guadalupe,Drug,MAN DEL CS PG 1 >=1G<4G,1/12/2017
Bexar,Drug,MAN DEL CS PG 1 >=4G<200G,4/11/2018
Travis,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/22/2019
Hood,Drug,POSS CS PG 1 >=1G<4G,11/7/2017
Harris,Drug,POSS CS PG 1 <1G,5/17/2017
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/8/2019
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",6/21/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/24/2018
Harris,Property,THEFT PROP >=$30K<$150K,1/26/2019
Bexar,Other,OBSTRUCTION OR RETALIATION,7/7/2018
Orange,Drug,POSS CS PG 1 <1G,8/16/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/7/2019
Brazoria,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",7/18/2018
Colorado,Other,UNL POSS FIREARM BY FELON,10/8/2017
Kaufman,Violent,INJURY CHILD/ELDERLY/DISABLE W/INT BODILY INJ,6/9/2018
Wichita,Drug,POSS CS PG 1 <1G,3/9/2017
San Patricio,Other,EVADING ARST/DETN W/VEH,6/4/2017
Harris,Other,EVADING ARST/DETN W/VEH,8/31/2018
Tom Green,Drug,POSS CS PG 1 >=1G<4G,7/25/2018
Hidalgo,Property,"THEFT PROP>=$1,500<$20K",3/30/2017
Harris,Drug,POSS CS PG 1 <1G,5/31/2017
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/3/2018
Montgomery,Drug,POSS CS PG 1 <1G,1/20/2018
Bexar,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,8/21/2018
Dallas,Drug,POSS CS PG 1 <1G,10/21/2018
Harris,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,9/10/2018
El Paso,Drug,MAN DEL CS PG 1 <1G,2/17/2017
Hidalgo,Violent,ROBBERY,4/7/2019
Dallas,Property,BURGLARY OF BUILDING,6/10/2018
Tarrant,Drug,POSS CS PG 1 <1G,6/21/2018
Maverick,Drug,POSS CS PG 1 <1G,5/12/2017
Bexar,Violent,SEXUAL ASSAULT CHILD,10/29/2017
Bexar,Drug,POSS CS PG 1 <1G,12/16/2018
Harris,Violent,AGG ASSAULT W/DEADLY WEAPON,8/14/2018
Jefferson,Drug,POSS CS PG 1 >=4G<200G,12/1/2017
Dallas,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER W/PREV CONV,4/6/2019
Brazos,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/11/2017
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,4/13/2018
Harris,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/10/2017
Ochiltree,Other,EVADING ARST/DETN W/VEH,2/15/2017
Brazos,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",2/28/2019
Coryell,Other,DEADLY CONDUCT DISCHARGE FIREARM,9/4/2018
Panola,Drug,POSS CS PG 1 <1G,5/17/2018
Harris,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,10/27/2018
Waller,Drug,POSS CS PG 1 >=4G<200G,9/19/2017
Harris,Drug,POSS CS PG 1 <1G,7/10/2018
Henderson,Drug,MAN DEL CS PG 1 >=1G<4G,12/6/2017
Nueces,Property,BURGLARY OF BUILDING,8/13/2018
Hays,Violent,AGG ASSAULT W/DEADLY WEAPON,5/27/2018
Ector,Drug,POSS CS PG 1 <1G,2/26/2017
Harris,Other,SEX OFFENDERS DUTY TO REGISTER 10YRS,7/18/2018
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/6/2018
Ellis,Drug,POSS CS PG 1 <1G,3/15/2018
Ector,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,6/22/2018
Rockwall,Other,EVADING ARST/DETN W/VEH,11/14/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,5/13/2018
Travis,Violent,ROBBERY,7/5/2018
Ellis,Property,THEFT FROM PERSON,1/23/2018
Harris,Drug,POSS CS PG 1 >=1G<4G,12/1/2017
Tarrant,Drug,POSS CS PG 1 <1G,1/3/2019
Taylor,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BREATH/CIRCULAT,8/11/2017
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/12/2018
Travis,Property,BURGLARY OF BUILDING,2/28/2018
Tarrant,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,11/12/2018
McLennan,Other,TAMPER/FABRICATE PHYS EVID W/INTENT TO IMPAIR,9/7/2017
Winkler,Property,BURGLARY OF BUILDING,8/7/2018
Hockley,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,2/1/2019
Harris,Other,ACCIDENT INVOLVING INJURY,3/16/2018
Harris,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,9/30/2018
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",1/8/2017
Cherokee,Drug,POSS CS PG 1 >=4G<200G,3/21/2018
Galveston,Drug,POSS CS PG 1 >=1G<4G,1/26/2018
Wichita,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",9/13/2017
Comanche,Drug,POSS CS PG 1 >=4G<200G,2/8/2018
Travis,Violent,AGG ASSAULT W/DEADLY WEAPON,8/28/2017
Travis,Drug,POSS MARIJ >4OZ<=5LBS,6/19/2018
Lubbock,Other,SEX OFFENDERS DUTY TO REGISTER LIFE/ANNUALLY,10/19/2017
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/10/2018
Harris,Drug,MAN DEL CS PG 1 <1G,4/9/2019
Bell,Drug,POSS CS PG 1 <1G,5/23/2017
Dallas,Violent,SEXUAL ASSAULT CHILD,2/2/2018
San Patricio,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,7/4/2018
Brazoria,Other,DRIVING WHILE INTOXICATED 3RD OR MORE,7/22/2018
